23:04:52.174 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2261
23:04:52.174 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2261is not prime but doesn't exist in Fibonacci Series.
23:04:52.174 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2262Size of Array = 10000
23:04:52.218 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.218 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2262
23:04:52.218 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2262is not prime but doesn't exist in Fibonacci Series.
23:04:52.218 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2263Size of Array = 10000
23:04:52.260 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.260 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2263
23:04:52.260 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2263is not prime but doesn't exist in Fibonacci Series.
23:04:52.260 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2264Size of Array = 10000
23:04:52.300 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.300 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2264
23:04:52.300 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2264is not prime but doesn't exist in Fibonacci Series.
23:04:52.300 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2265Size of Array = 10000
23:04:52.341 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.341 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2265
23:04:52.341 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2265is not prime but doesn't exist in Fibonacci Series.
23:04:52.341 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2266Size of Array = 10000
23:04:52.384 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.384 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2266
23:04:52.384 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2266is not prime but doesn't exist in Fibonacci Series.
23:04:52.384 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2267Size of Array = 10000
23:04:52.431 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.431 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED true value = 2267
23:04:52.431 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2267is prime but doesn't exist in Fibonacci Series.
23:04:52.431 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2268Size of Array = 10000
23:04:52.476 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.476 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2268
23:04:52.476 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2268is not prime but doesn't exist in Fibonacci Series.
23:04:52.476 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2269Size of Array = 10000
23:04:52.520 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.520 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED true value = 2269
23:04:52.520 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2269is prime but doesn't exist in Fibonacci Series.
23:04:52.520 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2270Size of Array = 10000
23:04:52.565 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.565 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2270
23:04:52.565 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2270is not prime but doesn't exist in Fibonacci Series.
23:04:52.565 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2271Size of Array = 10000
23:04:52.612 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.612 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2271
23:04:52.612 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2271is not prime but doesn't exist in Fibonacci Series.
23:04:52.612 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2272Size of Array = 10000
23:04:52.655 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.655 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2272
23:04:52.655 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2272is not prime but doesn't exist in Fibonacci Series.
23:04:52.655 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2273Size of Array = 10000
23:04:52.700 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.700 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED true value = 2273
23:04:52.700 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2273is prime but doesn't exist in Fibonacci Series.
23:04:52.700 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2274Size of Array = 10000
23:04:52.743 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
23:04:52.743 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrime RETURNED false value = 2274
23:04:52.743 [main] INFO  com.Log4jtest.com.Log4jTest.main - checkIsPrimeFibonacci RETURNED 2274is not prime but doesn't exist in Fibonacci Series.
23:04:52.743 [main] INFO  com.Log4jtest.com.Log4jTest.main - Checked number = 2275Size of Array = 10000
23:04:52.785 [main] INFO  com.Log4jtest.com.Log4jTest.main - createFibonacciSeries Created Series. 
